country,region,stocklong,Common.name,Species.name,dollar_per_tonne,Lat,long,SSTmeanBO,HADISSTmean.5yr,HADISSTtrend.50yr.coef
Argentina,Northern Argentina,Argentine anchoita Northern Argentina,Argentine anchoita,Engraulis anchoita,660,-40,-57,11.898706,13.24519474,-0.015020978
Argentina,Southern Argentina,Argentine anchoita Southern Argentina,Argentine anchoita,Engraulis anchoita,660,-52,-65,7.246979,8.213708758,-0.001375735
Argentina,Northern Argentina,Argentine hake Northern Argentina,Argentine hake,Merluccius hubbsi,1650,-40,-57,11.898706,13.24519474,-0.015020978
Argentina,Southern Argentina,Argentine hake Southern Argentina,Argentine hake,Merluccius hubbsi,1650,-52,-65,7.246979,8.213708758,-0.001375735
Argentina,Southern Argentina,Patagonian grenadier Southern Argentina,Patagonian grenadier,Macruronus magellanicus,2850,-51,-67,8.11576,8.639146964,-0.001341015
Argentina,Southern Argentina,Southern blue whiting Southern Argentina,Southern blue whiting,Micromesistius australis,1650,-51,-67,8.11576,8.639146964,-0.001341015
Australia,SE Australia,Bight_redfish SE Australia,Bight_redfish,Centroberyx gerrardi,2850,-36,136,17.311855,16.77658903,0.007149259
Australia,SE Australia,Blue Grenadier SE Australia,Blue Grenadier,Macruronus novaezelandiae,2850,-39,143,15.764741,15.39568578,0.007713888
Australia,SE Australia,Blue_warehou_east SE Australia,Blue_warehou_east,Seriolella brama,2850,-39,141,15.672922,15.09975651,0.008028939
Australia,SE Australia,Blue_warehou_west SE Australia,Blue_warehou_west,Seriolella brama,2850,-37,150,18.308109,19.51163932,0.033646672
Australia,SE Australia,Deepwater_Flathead SE Australia,Deepwater_Flathead,Neoplatycephalus conatus,2850,-39,141,15.672922,15.09975651,0.008028939
Australia,SE Australia,Eastern_gemfish SE Australia,Eastern_gemfish,Rexea solandri,2850,-35,152,20.864452,20.98073155,0.025906847
Australia,Bass Strait,Gummy shark (BS),Gummy shark (BS),Mustelus antarcticus,1200,-40,146,15.395543,15.74176192,0.006972993
