,stocklong,country,Region,Year,Years,N,Brel_MRA,mean(Delta_Brel),mean(Delta_B),mean(Delta_B1),sd(Delta_Brel),sd(Delta_B),sd(Delta_B1),Fishery group,Price
1,Argentine anchoita Northern Argentina,Argentina,Northern Argentina,1990,26,2,1.76635514,0.041854499,-0.01115969,-0.053014189,0.13526995,0.008392995,0.126876955,"Herrings, sardines, anchovies",660
2,Argentine anchoita Southern Argentina,Argentina,Southern Argentina,1990,25,1,0.985013624,0.934550236,0.192206199,-0.742344036,NA,NA,NA,"Herrings, sardines, anchovies",660
3,Argentine hake Northern Argentina,Argentina,Northern Argentina,1986,28,2,0.203665988,0.069719348,0.040518649,-0.029200699,0.125476797,0.113280844,0.012195953,"Cods, hakes, haddocks",1650
4,Argentine hake Southern Argentina,Argentina,Southern Argentina,1990,24,1,0.917851501,-0.100884727,-0.378863633,-0.277978906,NA,NA,NA,"Cods, hakes, haddocks",1650
5,Patagonian grenadier Southern Argentina,Argentina,Southern Argentina,1985,30,1,0.525510204,-0.143838458,0.453546272,0.59738473,NA,NA,NA,"Herrings, sardines, anchovies",660
6,Southern blue whiting Southern Argentina,Argentina,Southern Argentina,1987,27,1,0.261044177,1.194281972,0.973488818,-0.220793153,NA,NA,NA,"Cods, hakes, haddocks",1650
7,Bight_redfish SE Australia,Australia,SE Australia,1960,54,5,0.620766742,0.298999984,1.460416521,1.161416537,0.146831163,0.610256321,0.49034276,Miscellaneous demersal fishes,2850
8,Blue Grenadier SE Australia,Australia,SE Australia,1979,31,8,0.776520497,-0.550807426,-0.408251609,0.142555817,0.298764549,0.384448275,0.257977969,Miscellaneous demersal fishes,2850
9,Blue_warehou_east SE Australia,Australia,SE Australia,1986,22,3,0.097402236,0.453295491,0.942320851,0.48902536,0.392762904,0.779372697,0.399932548,Miscellaneous demersal fishes,2850
10,Blue_warehou_west SE Australia,Australia,SW Australia,1986,22,3,0.145808597,-0.467061635,0.155190773,0.622252408,0.217861218,0.402066736,0.318554676,"Cods, hakes, haddocks",1650
11,Deepwater_Flathead SE Australia,Australia,SE Australia,1980,35,5,0.448269462,0.237679206,0.408586549,0.170907343,0.256833504,0.405697515,0.453368399,Miscellaneous demersal fishes,2850
12,Eastern_gemfish SE Australia,Australia,SE Australia,1968,40,2,0.153492258,0.136182586,-0.068156337,-0.204338923,0.181328751,0.174766761,0.00656199,Miscellaneous demersal fishes,2850
13,Gummy shark (BS),Australia,Bass Strait,1927,89,4,0.530456959,-0.065950593,-0.249376467,-0.183425873,0.395722924,0.925208499,0.533327456,"Flounders, halibuts, soles",2700
14,Gummy shark (SA),Australia,South Australia,1927,89,4,0.631636739,-0.242783734,-0.677671462,-0.434887728,0.520007711,1.045785201,0.53831535,"Sharks, rays, chimaeras",1200
15,Gummy_shark (TAS),Australia,Tasmania,1927,89,1,0.750497559,0.080715281,0.150986027,0.070270747,NA,NA,NA,"Sharks, rays, chimaeras",1200
16,Morwong _east,Australia,SE Australia,1920,94,6,0.094757018,0.371973105,0.195495033,-0.176478072,0.336944967,0.343279164,0.108745627,"Flounders, halibuts, soles",2700
17,Morwong_West,Australia,SW Australia,1986,28,3,0.630177306,0.181403666,0.542775795,0.361372129,0.028920126,0.171892143,0.153187307,Miscellaneous demersal fishes,2850
18,Orange Roughy SE Australia,Australia,SE Australia,1980,33,2,0.171174024,-0.020796224,0.065799634,0.086595859,0.408091871,0.381099478,0.026992392,Miscellaneous demersal fishes,2850
19,Pink_Ling_East,Australia,SE Australia,1970,43,5,0.198858643,0.345325912,0.239069834,-0.106256077,0.101263436,0.073944529,0.099661057,Miscellaneous demersal fishes,2850
20,Pink_Ling_West,Australia,SW Australia,1970,43,5,0.432261787,0.044498146,0.195958681,0.151460535,0.162136736,0.312681506,0.175410154,Miscellaneous demersal fishes,2850
21,Redfish SE Australia,Australia,SE Australia,1976,37,1,0.104644241,1.57733951,1.683646236,0.106306726,NA,NA,NA,Miscellaneous demersal fishes,2850
22,School Whiting SE Australia,Australia,SE Australia,1947,61,4,0.443460114,0.766551762,0.333423864,-0.433127899,0.697930268,0.519917086,0.537160754,"Sharks, rays, chimaeras",1200
23,School_shark SE Australia,Australia,SE Australia,1927,81,3,0.098883995,0.69949008,1.386406335,0.686916255,0.811562211,0.698464556,0.156036269,Miscellaneous coastal fishes,2950
24,Silver_Warehou SE Australia,Australia,SE Australia,1980,34,6,0.316252732,-0.263584399,-0.53548291,-0.271898511,0.251369824,0.486454884,0.335433797,Miscellaneous demersal fishes,2850
25,Tiger_flathead SE Australia,Australia,SE Australia,1920,95,5,0.415674626,0.151393874,0.128224415,-0.023169459,0.21123814,0.208980069,0.09256824,Miscellaneous demersal fishes,2850
26,Atlantic cod Southern Gulf of St. Lawrence,Canada,Southern Gulf,1971,44,1,0.201298701,0.489188539,0.379489622,-0.109698917,NA,NA,NA,"Cods, hakes, haddocks",1650
27,Atlantic cod Southern Labrador-Eastern Newfoundland,Canada,Southern Labrador,1962,52,1,0.1175,0.012139755,0.012139755,0,NA,NA,NA,"Cods, hakes, haddocks",1650
