country,stocklong,country,mean.5yr,trend.50yr.coef,Value,FAO group,dollar_per_tonne
Argentina,Argentine anchoita Northern Argentina,Argentina,13.27125613,-0.015551806,7.128816664,"Herrings, sardines, anchovies",660
Argentina,Argentine anchoita Southern Argentina,Argentina,8.263356568,-0.001302169,6.167893778,"Herrings, sardines, anchovies",660
Argentina,Argentine hake Northern Argentina,Argentina,13.27125613,-0.015551806,5.105945474,"Cods, hakes, haddocks",1700
Argentina,Argentine hake Southern Argentina,Argentina,8.263356568,-0.001302169,6.865526045,"Cods, hakes, haddocks",1700
Argentina,Patagonian grenadier Southern Argentina,Argentina,8.687087593,-0.000889735,6.375195163,Miscellaneous demersal fishes,2930
Argentina,Southern blue whiting Southern Argentina,Argentina,8.687087593,-0.000889735,6.061456919,"Cods, hakes, haddocks",1700
Australia,Bight_redfish SE Australia,Australia,16.9679637,0.007987843,2.295761213,Miscellaneous demersal fishes,2930
Australia,Blue Grenadier SE Australia,Australia,15.52306669,0.008452788,4.596327,Miscellaneous demersal fishes,2930
Australia,Blue_warehou_east SE Australia,Australia,15.2604496,0.009014906,0.66055738,Miscellaneous demersal fishes,2930
Australia,Blue_warehou_west SE Australia,Australia,19.42399315,0.034096097,0.379014659,Miscellaneous demersal fishes,2930
Australia,Deepwater_Flathead SE Australia,Australia,15.2604496,0.009014906,2.646999457,Miscellaneous demersal fishes,2930
Australia,Eastern_gemfish SE Australia,Australia,20.88773862,0.026865753,1.804022964,Miscellaneous demersal fishes,2930
Australia,Gummy shark (BS),Australia,15.79191364,0.007841057,1.112716357,"Sharks, rays, chimaeras",1100
Australia,Gummy shark (SA),Australia,18.38305899,0.014346744,1.306448884,"Sharks, rays, chimaeras",1100
Australia,Gummy_shark (TAS),Australia,14.58302312,0.004121676,-0.114409333,"Sharks, rays, chimaeras",1100
Australia,Morwong _east,Australia,16.02293991,0.012285718,2.041218705,Miscellaneous demersal fishes,2930
Australia,Morwong_West,Australia,17.63635933,0.007566889,1.577923716,Miscellaneous demersal fishes,2930
Australia,Orange Roughy SE Australia,Australia,15.52306669,0.008452788,3.220940532,Miscellaneous demersal fishes,2930
Australia,Pink_Ling_East,Australia,15.52306669,0.008452788,1.478321886,Miscellaneous demersal fishes,2930
Australia,Pink_Ling_West,Australia,17.63635933,0.007566889,1.853830574,Miscellaneous demersal fishes,2930
Australia,Redfish SE Australia,Australia,21.84207194,0.025036003,1.313046826,Miscellaneous demersal fishes,2930
Australia,School Whiting SE Australia,Australia,15.52306669,0.008452788,2.367358883,Miscellaneous coastal fishes,3050
Australia,School_shark SE Australia,Australia,15.52306669,0.008452788,-0.779955524,"Sharks, rays, chimaeras",1100
Australia,Silver_Warehou SE Australia,Australia,16.2425055,0.017791538,3.048041951,Miscellaneous demersal fishes,2930
Australia,Tiger_flathead SE Australia,Australia,15.87245329,0.008663612,3.332114792,Miscellaneous demersal fishes,2930
Canada,Atlantic cod Southern Gulf of St. Lawrence,Canada,7.392414168,0.03219276,3.934762492,"Cods, hakes, haddocks",1700
Canada,Atlantic cod Southern Labrador-Eastern Newfoundland,Canada,4.000810725,0.014590318,5.737217251,"Cods, hakes, haddocks",1700
Canada,Herring Southern Gulf of St. Lawrence (Fall spawners),Canada,7.392414168,0.03219276,4.179604406,"Herrings, sardines, anchovies",660
Canada,Herring Southern Gulf of St. Lawrence (Spring spawners),Canada,7.392414168,0.03219276,2.689071235,"Herrings, sardines, anchovies",660
Canada,Mackerel Northwest Atlantic (NAFO Subareas 3 and 4),Canada,8.26613,0.027922314,2.079441542,Miscellaneous pelagic fishes,850
Canada,Pacific herring Central Coast,Canada,10.93726041,0.0219658,2.779067688,"Herrings, sardines, anchovies",660
Canada,Pacific herring Prince Rupert District,Canada,9.974719343,0.018267352,2.446685437,"Herrings, sardines, anchovies",660
Canada,Pacific herring Queen Charlotte Islands,Canada,10.5354497,0.021346429,1.991429664,"Herrings, sardines, anchovies",660
Canada,Pacific herring Strait of Georgia,Canada,11.04818816,0.009227744,4.113853029,"Herrings, sardines, anchovies",660
Canada,Pacific herring West Coast of Vancouver Island,Canada,11.24012104,0.015455593,2.077690009,"Herrings, sardines, anchovies",660
Canada,Rock sole Hecate Strait,Canada,10.19620065,0.02020864,3.727619282,"Flounders, halibuts, soles",3050
Canada,Winter flounder Southern Gulf of St. Lawrence,Canada,7.392414168,0.03219276,4.895224443,"Flounders, halibuts, soles",3050
Multinational Tuna Commission,Albacore tuna South Pacific Ocean,Multinational Tuna Commission,27.85701838,0.010135838,5.575949103,"Tunas, bonitos, billfishes",1950
Multinational Tuna Commission,Atlantic bluefin tuna Eastern Atlantic,Multinational Tuna Commission,17.19373892,0.016817138,6.810693566,"Tunas, bonitos, billfishes",1950
Multinational Tuna Commission,Atlantic bluefin tuna Western Atlantic,Multinational Tuna Commission,22.19674436,0.020793241,3.317815773,"Tunas, bonitos, billfishes",1950
Multinational Tuna Commission,Bigeye tuna Indian Ocean,Multinational Tuna Commission,27.22701914,0.011222411,6.934883946,"Tunas, bonitos, billfishes",1950
Multinational Tuna Commission,Skipjack tuna Central Western Pacific Ocean,Multinational Tuna Commission,28.89061468,0.010017983,8.741136423,"Tunas, bonitos, billfishes",1950
Multinational Tuna Commission,Yellowfin tuna Central Western Pacific Ocean,Multinational Tuna Commission,28.89061468,0.010017983,7.503840747,"Tunas, bonitos, billfishes",1950
Multinational_ICES Arctic Fisheries Working Group,Atlantic cod North-East Arctic,Multinational_ICES Arctic Fisheries Working Group,5.263072746,0.019145966,7.807306687,"Cods, hakes, haddocks",1700
Multinational_ICES Arctic Fisheries Working Group,Capelin Barents Sea,Multinational_ICES Arctic Fisheries Working Group,2.109003202,0.576172562,7.003792467,Miscellaneous pelagic fishes,850
Multinational_ICES Arctic Fisheries Working Group,Golden redfish North-East Arctic,Multinational_ICES Arctic Fisheries Working Group,2.363815781,0.017289242,4.138361448,Miscellaneous demersal fishes,2930
Multinational_ICES Arctic Fisheries Working Group,Greenland halibut North-East Arctic,Multinational_ICES Arctic Fisheries Working Group,2.363815781,0.017289242,7.591760802,"Flounders, halibuts, soles",3050
Multinational_ICES Arctic Fisheries Working Group,Haddock North-East Arctic,Multinational_ICES Arctic Fisheries Working Group,2.363815781,0.017289242,6.788633848,"Cods, hakes, haddocks",1700
Multinational_ICES Arctic Fisheries Working Group,Pollock North-East Arctic,Multinational_ICES Arctic Fisheries Working Group,2.363815781,0.017289242,6.448810277,"Cods, hakes, haddocks",1700
Multinational_ICES Baltic Fisheries Assessment Working Group,Atlantic cod Eastern Baltic,Multinational_ICES,9.143680669,0.034626972,5.693732139,"Cods, hakes, haddocks",1700
Multinational_ICES Baltic Fisheries Assessment Working Group,Atlantic cod Kattegat,Multinational_ICES,10.4212593,0.026903996,1.324950731,"Cods, hakes, haddocks",1700
Multinational_ICES Baltic Fisheries Assessment Working Group,Atlantic cod Western Baltic,Multinational_ICES,9.790320782,0.032482502,3.731579684,"Cods, hakes, haddocks",1700
Multinational_ICES Baltic Fisheries Assessment Working Group,Herring Bothnian Bay,Multinational_ICES,6.467743333,0.629748958,1.665175317,"Herrings, sardines, anchovies",660
Multinational_ICES Baltic Fisheries Assessment Working Group,Herring Bothnian Sea,Multinational_ICES,7.077980673,0.028217792,6.443049591,"Herrings, sardines, anchovies",660
Multinational_ICES Baltic Fisheries Assessment Working Group,Herring Eastern Baltic,Multinational_ICES,9.143680669,0.034626972,5.849785769,"Herrings, sardines, anchovies",660
Multinational_ICES Baltic Fisheries Assessment Working Group,Herring Gulf of Riga East of Gotland,Multinational_ICES,8.74737989,0.2703007,4.085404721,"Herrings, sardines, anchovies",660
Multinational_ICES North-Western Working Group,Atlantic cod Faroe Plateau,Multinational_ICES,9.785745401,0.013698598,4.056123349,"Cods, hakes, haddocks",1700
Multinational_ICES North-Western Working Group,Atlantic cod Iceland Grounds,Multinational_ICES,4.482861862,0.03778639,6.98081985,"Cods, hakes, haddocks",1700
Multinational_ICES North-Western Working Group,Haddock Faroe Plateau,Multinational_ICES,9.785745401,0.013698598,3.731579684,"Cods, hakes, haddocks",1700
Multinational_ICES North-Western Working Group,Haddock Iceland Grounds,Multinational_ICES,4.482861862,0.03778639,4.831508628,"Cods, hakes, haddocks",1700
Multinational_ICES North-Western Working Group,Herring Iceland (Summer spawners),Multinational_ICES,7.461459209,0.017131979,4.987161938,"Herrings, sardines, anchovies",660
Multinational_ICES North-Western Working Group,Pollock Faroe Plateau,Multinational_ICES,8.699676067,0.015697628,4.703974255,"Cods, hakes, haddocks",1700
Multinational_ICES Other Working Groups,Anchovy Bay of Biscay,Multinational_ICES,15.76332508,0.025352936,4.209457369,"Herrings, sardines, anchovies",660
Multinational_ICES Other Working Groups,Blue whiting Northeast Atlantic,Multinational_ICES,11.02270004,0.015360026,9.185176398,"Cods, hakes, haddocks",1700
Multinational_ICES Other Working Groups,Fourspotted megrim ICES 8c-9a,Multinational_ICES,15.83548818,0.021083762,3.088812697,"Flounders, halibuts, soles",3050
Multinational_ICES Other Working Groups,Hake ICES 3a-4-6-7-8abd,Multinational_ICES,13.02391365,0.012630667,6.227623035,"Cods, hakes, haddocks",1700
Multinational_ICES Other Working Groups,Hake ICES 8c-9a,Multinational_ICES,15.83548818,0.021083762,3.674653747,"Cods, hakes, haddocks",1700
Multinational_ICES Other Working Groups,Herring ICES 22-24-3a,Multinational_ICES,11.75161014,0.011900603,4.228875455,"Herrings, sardines, anchovies",660
Multinational_ICES Other Working Groups,Herring ICES 5a-7bc,Multinational_ICES,11.3298818,0.012328155,4.100823528,"Herrings, sardines, anchovies",660
Multinational_ICES Other Working Groups,Herring Irish Sea,Multinational_ICES,11.366857,0.013830731,2.697999865,"Herrings, sardines, anchovies",660
Multinational_ICES Other Working Groups,Herring West of Scotland,Multinational_ICES,11.22335234,0.011160911,4.209457369,"Herrings, sardines, anchovies",660
Multinational_ICES Other Working Groups,Mackerel ICES Northeast Atlantic,Multinational_ICES,15.28542068,0.016402227,7.696939648,Miscellaneous pelagic fishes,850
Multinational_ICES Other Working Groups,Megrim ICES 8c-9a,Multinational_ICES,15.83548818,0.021083762,1.909542505,"Flounders, halibuts, soles",3050
Multinational_ICES Other Working Groups,Sprat North Sea,Multinational_ICES,10.59512743,0.024500523,5.598199712,"Herrings, sardines, anchovies",660
Multinational_ICES Working Group on Celtic Seas Ecosystems,Atlantic cod Irish Sea,Multinational_ICES,11.366857,0.013830731,2.832919183,"Cods, hakes, haddocks",1700
Multinational_ICES Working Group on Celtic Seas Ecosystems,Atlantic cod West of Scotland,Multinational_ICES,10.5110207,0.013105356,1.409033848,"Cods, hakes, haddocks",1700
Multinational_ICES Working Group on Celtic Seas Ecosystems,Common sole Celtic Sea,Multinational_ICES,13.5997029,0.016521194,1.937157672,"Flounders, halibuts, soles",3050
Multinational_ICES Working Group on Celtic Seas Ecosystems,Common sole Eastern English Channel,Multinational_ICES,11.76961099,0.032644868,3.65351131,"Flounders, halibuts, soles",3050
Multinational_ICES Working Group on Celtic Seas Ecosystems,Common sole Irish Sea,Multinational_ICES,11.366857,0.013830731,1.843402702,"Flounders, halibuts, soles",3050
Multinational_ICES Working Group on Celtic Seas Ecosystems,Common sole North Sea,Multinational_ICES,10.55239733,0.024369031,5.053694784,"Flounders, halibuts, soles",3050
Multinational_ICES Working Group on Celtic Seas Ecosystems,Common sole Western English Channel,Multinational_ICES,12.05914519,0.032731316,2.372017868,"Flounders, halibuts, soles",3050
Multinational_ICES Working Group on Celtic Seas Ecosystems,European plaice Celtic Sea,Multinational_ICES,13.5997029,0.016521194,1.686398954,"Flounders, halibuts, soles",3050
Multinational_ICES Working Group on Celtic Seas Ecosystems,European plaice Eastern English Channel,Multinational_ICES,11.76961099,0.032644868,4.858183171,"Flounders, halibuts, soles",3050
Multinational_ICES Working Group on Celtic Seas Ecosystems,European plaice Irish Sea,Multinational_ICES,11.366857,0.013830731,4.088829382,"Flounders, halibuts, soles",3050
Multinational_ICES Working Group on Celtic Seas Ecosystems,European plaice North Sea,Multinational_ICES,10.55239733,0.024369031,7.840194913,"Flounders, halibuts, soles",3050
